date,day_of_week,page_loads,unique_visits,first_time_visits,returning_visits
6/9/2015,Tuesday,4.881,3.469,2.862,607.0
6/10/2015,Wednesday,5.001,3.425,2.786,639.0
6/11/2015,Thursday,4.635,3.242,2.614,628.0
6/12/2015,Friday,3.545,2.494,2.066,428.0
6/13/2015,Saturday,2.262,1.49,1.235,255.0
6/14/2015,Sunday,2.866,2.034,1.692,342.0
6/15/2015,Monday,4.692,3.261,2.682,579.0
6/16/2015,Tuesday,4.602,3.204,2.66,544.0
6/17/2015,Wednesday,4.62,3.101,2.556,545.0
6/18/2015,Thursday,4.475,2.955,2.386,569.0
6/19/2015,Friday,3.564,2.422,1.954,468.0
6/20/2015,Saturday,2.071,1.37,1.129,241.0
6/21/2015,Sunday,2.659,1.84,1.523,317.0
6/22/2015,Monday,4.338,2.963,2.41,553.0
6/23/2015,Tuesday,4.531,3.139,2.566,573.0
6/24/2015,Wednesday,4.498,3.022,2.481,541.0
6/25/2015,Thursday,4.128,2.73,2.21,520.0
6/26/2015,Friday,3.132,2.153,1.721,432.0
6/27/2015,Saturday,1.829,1.264,1.067,197.0
6/28/2015,Sunday,2.149,1.517,1.224,293.0
6/29/2015,Monday,3.975,2.691,2.169,522.0
6/30/2015,Tuesday,4.046,2.718,2.18,538.0
7/1/2015,Wednesday,3.897,2.745,2.266,479.0
7/2/2015,Thursday,3.871,2.54,2.072,468.0
7/3/2015,Friday,2.63,1.716,1.353,363.0
7/4/2015,Saturday,1.602,1.104,900.0,204.0
7/5/2015,Sunday,1.96,1.37,1.141,229.0
7/6/2015,Monday,4.143,2.655,2.171,484.0
7/7/2015,Tuesday,4.205,2.789,2.266,523.0
7/8/2015,Wednesday,4.193,2.783,2.255,528.0
7/9/2015,Thursday,3.71,2.536,2.069,467.0
7/10/2015,Friday,3.137,2.203,1.767,436.0
7/11/2015,Saturday,1.834,1.145,944.0,201.0
7/12/2015,Sunday,2.07,1.473,1.197,276.0
7/13/2015,Monday,4.18,2.852,2.31,542.0
7/14/2015,Tuesday,4.038,2.731,2.226,505.0
7/15/2015,Wednesday,3.906,2.667,2.119,548.0
7/16/2015,Thursday,3.58,2.424,1.94,484.0
7/17/2015,Friday,2.948,2.07,1.708,362.0
7/18/2015,Saturday,1.622,1.121,924.0,197.0
7/19/2015,Sunday,2.179,1.48,1.214,266.0
7/20/2015,Monday,3.906,2.615,2.146,469.0
7/21/2015,Tuesday,3.745,2.596,2.071,525.0
7/22/2015,Wednesday,4.212,2.761,2.205,556.0
7/23/2015,Thursday,3.901,2.595,2.095,500.0
7/24/2015,Friday,3.292,2.207,1.785,422.0
7/25/2015,Saturday,1.819,1.229,1.016,213.0
7/26/2015,Sunday,2.068,1.562,1.286,276.0
7/27/2015,Monday,3.991,2.805,2.243,562.0
7/28/2015,Tuesday,4.073,2.862,2.361,501.0
7/29/2015,Wednesday,4.069,2.825,2.324,501.0
7/30/2015,Thursday,3.716,2.629,2.126,503.0
7/31/2015,Friday,3.38,2.12,1.709,411.0
8/1/2015,Saturday,1.737,1.197,958.0,239.0
8/2/2015,Sunday,2.181,1.567,1.282,285.0
8/3/2015,Monday,3.973,2.794,2.263,531.0
8/4/2015,Tuesday,3.997,2.794,2.269,525.0
